                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.89882,                 0.4679,                0.97571,                0.97629,                0.97879,                 0.9887,                0.70783,                 1.1003,                0.44748,                 1.1263,               0.006898,               0.006898,               0.006898
                     96,                0.88611,                0.45194,                0.96903,                0.97772,                0.96756,                0.99047,                 0.7011,                 1.1201,                 0.4443,                 1.1325,               0.006865,               0.006865,               0.006865
                     97,                0.88861,                0.46081,                0.97683,                0.95827,                0.98102,                0.98742,                0.70707,                 1.1079,                0.45461,                 1.1225,               0.006832,               0.006832,               0.006832
                     98,                0.88707,                0.45255,                0.98661,                0.99052,                0.96935,                0.99191,                0.71407,                 1.0528,                0.43075,                 1.1058,               0.006799,               0.006799,               0.006799
                     99,                0.88408,                 0.4539,                0.97243,                0.97443,                0.97808,                0.98915,                0.71436,                 1.1009,                 0.4368,                 1.1151,               0.006766,               0.006766,               0.006766
                    100,                 0.8751,                0.45378,                0.98338,                 0.9725,                0.95965,                0.98739,                0.71254,                 1.1309,                0.46647,                 1.1276,               0.006733,               0.006733,               0.006733
                    101,                0.86698,                0.44995,                0.96919,                0.97184,                 0.9553,                0.98429,                0.69903,                 1.1597,                0.47223,                 1.1362,                 0.0067,                 0.0067,                 0.0067
                    102,                0.86061,                 0.4556,                0.96351,                0.97983,                0.97101,                0.98673,                0.70757,                 1.1191,                0.44903,                  1.126,               0.006667,               0.006667,               0.006667
                    103,                0.85808,                0.45377,                0.97296,                0.96838,                0.97458,                0.98301,                 0.7096,                 1.0702,                0.44647,                 1.1205,               0.006634,               0.006634,               0.006634
                    104,                0.88821,                0.46081,                 0.9761,                0.98914,                0.97273,                0.98566,                0.69818,                 1.1006,                0.43381,                 1.1333,               0.006601,               0.006601,               0.006601
                    105,                0.86839,                0.43892,                0.97464,                0.98233,                0.97469,                 0.9902,                0.71263,                 1.0956,                0.42877,                 1.1177,               0.006568,               0.006568,               0.006568
                    106,                 0.8569,                 0.4422,                 0.9706,                0.97027,                0.97978,                0.98664,                0.70433,                 1.0866,                 0.4287,                 1.1206,               0.006535,               0.006535,               0.006535
                    107,                0.84273,                0.43447,                0.97577,                0.98205,                0.96413,                0.98529,                0.71553,                 1.1213,                 0.4338,                 1.1265,               0.006502,               0.006502,               0.006502
                    108,                0.84864,                0.43152,                0.96446,                  0.983,                0.96319,                0.98773,                0.69546,                 1.1789,                0.45948,                 1.1458,               0.006469,               0.006469,               0.006469
                    109,                0.83874,                0.42922,                0.96259,                0.96865,                0.98051,                0.98512,                 0.6998,                 1.1247,                0.43898,                 1.1346,               0.006436,               0.006436,               0.006436
                    110,                0.85124,                0.43396,                0.95833,                0.97873,                0.97359,                0.98938,                0.70423,                 1.1073,                  0.432,                 1.1228,               0.006403,               0.006403,               0.006403
                    111,                0.85238,                0.42791,                 0.9674,                0.98063,                 0.9634,                0.98794,                0.70897,                 1.1032,                0.44071,                 1.1198,                0.00637,                0.00637,                0.00637
                    112,                0.84853,                0.43634,                0.97469,                0.97968,                0.97336,                0.98742,                0.70303,                 1.0944,                0.42977,                 1.1297,               0.006337,               0.006337,               0.006337
                    113,                0.84818,                0.43206,                0.96412,                0.96657,                0.97687,                0.98699,                 0.6936,                 1.1321,                 0.4333,                 1.1444,               0.006304,               0.006304,               0.006304
