                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0145,                0.55535,                 1.0311,                0.94321,                0.96053,                0.98561,                0.69508,                 1.0918,                0.50605,                 1.1223,               0.008515,               0.008515,               0.008515
                     47,                 1.0138,                0.54371,                 1.0213,                0.97328,                0.95221,                0.98798,                0.69662,                 1.0496,                0.49509,                 1.1135,               0.008482,               0.008482,               0.008482
                     48,                  1.023,                0.54577,                  1.033,                0.96402,                0.96157,                0.98966,                0.71153,                 1.0302,                0.48419,                 1.1009,               0.008449,               0.008449,               0.008449
                     49,                 1.0123,                 0.5491,                 1.0297,                 0.9654,                0.95192,                0.98422,                0.67886,                 1.0837,                0.52759,                 1.1111,               0.008416,               0.008416,               0.008416
                     50,                 1.0202,                0.54633,                 1.0239,                0.97877,                0.95061,                0.98884,                0.71088,                 1.0847,                0.48691,                 1.1049,               0.008383,               0.008383,               0.008383
                     51,                 1.0112,                0.55058,                  1.016,                0.96837,                0.96254,                0.98707,                0.70324,                 1.0425,                0.48286,                 1.1076,                0.00835,                0.00835,                0.00835
                     52,                 1.0035,                0.54083,                 1.0257,                0.96355,                0.95818,                0.98602,                0.69506,                 1.0684,                0.48888,                 1.1127,               0.008317,               0.008317,               0.008317
                     53,                0.98943,                0.54806,                 1.0281,                0.96459,                0.96924,                0.98674,                 0.6949,                  1.074,                0.47558,                 1.1091,               0.008284,               0.008284,               0.008284
                     54,                 1.0021,                0.54428,                 1.0185,                0.95799,                0.96194,                0.98328,                 0.7045,                 1.0616,                0.48245,                 1.1083,               0.008251,               0.008251,               0.008251
                     55,                 1.0162,                 0.5422,                 1.0223,                0.97062,                0.96474,                0.98661,                0.70644,                 1.0745,                0.45868,                 1.0996,               0.008218,               0.008218,               0.008218
                     56,                 1.0004,                0.54964,                 1.0226,                 0.9686,                0.96255,                0.98804,                0.70889,                 1.0392,                0.48317,                 1.0941,               0.008185,               0.008185,               0.008185
                     57,                0.98923,                0.53805,                 1.0123,                0.95794,                0.97826,                0.98566,                0.70408,                 1.0669,                0.46848,                 1.0969,               0.008152,               0.008152,               0.008152
