epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1.0494,0.77635,1.0654,0.74875,0.52971,0.59859,0.36577,1.1762,1.1345,1.1266,0.007723,0.007723,0.007723
71,1.0962,0.82728,1.0649,0.74849,0.56438,0.59153,0.33564,1.2145,1.1364,1.1241,0.00769,0.00769,0.00769
72,1.1893,0.84981,1.0892,0.7389,0.54313,0.57506,0.32791,1.2487,1.1704,1.1372,0.007657,0.007657,0.007657
73,1.1147,0.79332,1.0701,0.78914,0.49627,0.53586,0.31404,1.1958,1.273,1.1366,0.007624,0.007624,0.007624
74,1.0276,0.7912,1.0598,0.78182,0.47818,0.51939,0.30135,1.219,1.2519,1.1506,0.007591,0.007591,0.007591
75,1.1011,0.83216,1.0692,0.82417,0.51103,0.58193,0.32464,1.2021,1.1562,1.145,0.007558,0.007558,0.007558
76,1.1028,0.83864,1.072,0.77329,0.4984,0.59151,0.35942,1.1455,1.1246,1.1162,0.007525,0.007525,0.007525
77,1.102,0.78697,1.0811,0.76677,0.50677,0.53212,0.31536,1.1789,1.27,1.1643,0.007492,0.007492,0.007492
78,1.0696,0.79549,1.0646,0.73055,0.37913,0.48219,0.28033,1.2361,1.2374,1.172,0.007459,0.007459,0.007459
79,1.1666,0.8355,1.0524,0.71953,0.50307,0.54133,0.32208,1.2379,1.1846,1.173,0.007426,0.007426,0.007426
80,1.1579,0.86219,1.0978,0.72475,0.50875,0.55288,0.34233,1.1752,1.217,1.1579,0.007393,0.007393,0.007393
81,1.0883,0.82084,1.0685,0.73091,0.50881,0.54608,0.32481,1.1966,1.1962,1.1491,0.00736,0.00736,0.00736
82,1.0539,0.77105,1.0733,0.83472,0.43467,0.5525,0.3389,1.19,1.1206,1.1478,0.007327,0.007327,0.007327
83,1.0719,0.76425,1.09,0.55822,0.40835,0.47148,0.27836,1.1527,1.2265,1.1305,0.007294,0.007294,0.007294
84,1.089,0.77428,1.067,0.88126,0.3681,0.52268,0.29413,1.2171,1.1278,1.1416,0.007261,0.007261,0.007261
85,1.0738,0.78166,1.0526,0.77715,0.44478,0.54947,0.32837,1.1812,1.078,1.1362,0.007228,0.007228,0.007228
86,1.0555,0.75269,1.0597,0.73743,0.49351,0.57247,0.32485,1.246,1.0725,1.1487,0.007195,0.007195,0.007195
87,1.094,0.79364,1.095,0.81325,0.43313,0.54571,0.33224,1.1759,1.0944,1.1481,0.007162,0.007162,0.007162
88,1.0682,0.76531,1.0662,0.76027,0.45089,0.52929,0.32159,1.233,1.2321,1.1705,0.007129,0.007129,0.007129
89,1.1403,0.79919,1.0453,0.72114,0.48015,0.53318,0.33442,1.1701,1.1811,1.1499,0.007096,0.007096,0.007096
90,1.0225,0.74925,1.0566,0.74913,0.51117,0.53915,0.35242,1.1867,1.1039,1.1458,0.007063,0.007063,0.007063
91,1.0959,0.75336,1.0568,0.74511,0.56968,0.56809,0.36788,1.24,1.1208,1.1521,0.00703,0.00703,0.00703
92,1.0798,0.76349,1.0837,0.76587,0.59233,0.59468,0.36629,1.1961,1.0994,1.1493,0.006997,0.006997,0.006997
93,1.1323,0.73285,1.0406,0.77653,0.5495,0.56481,0.3348,1.2489,1.1711,1.1692,0.006964,0.006964,0.006964
94,1.0831,0.72974,1.0751,0.79347,0.57439,0.595,0.3744,1.2088,1.2014,1.1594,0.006931,0.006931,0.006931
95,1.0426,0.73908,1.0721,0.75103,0.55501,0.55334,0.33937,1.1972,1.2634,1.1625,0.006898,0.006898,0.006898
96,1.0202,0.71262,1.0429,0.72845,0.51339,0.51917,0.31517,1.2304,1.2425,1.1549,0.006865,0.006865,0.006865
97,1.0301,0.70522,1.0348,0.69735,0.4956,0.50745,0.29922,1.193,1.2017,1.1489,0.006832,0.006832,0.006832
98,0.97719,0.69078,1.0218,0.77975,0.51831,0.57992,0.35068,1.1708,1.1185,1.1314,0.006799,0.006799,0.006799
99,1.0368,0.75361,1.0536,0.79434,0.54013,0.56031,0.35479,1.1451,1.1209,1.1228,0.006766,0.006766,0.006766
