                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.94313,                0.53995,                0.99147,                0.96269,                0.96238,                0.98741,                0.68576,                 1.1015,                 0.4907,                 1.1175,               0.008185,               0.008185,               0.008185
                     57,                0.93996,                0.52589,                0.98555,                0.96501,                0.96879,                 0.9845,                 0.6859,                 1.1165,                0.49092,                 1.1216,               0.008152,               0.008152,               0.008152
                     58,                0.92825,                0.52172,                0.98227,                0.98257,                0.96393,                0.98945,                0.68584,                 1.1243,                0.48726,                 1.1269,               0.008119,               0.008119,               0.008119
                     59,                0.93556,                0.52031,                0.98615,                0.97803,                0.96988,                 0.9898,                0.69226,                 1.0918,                0.47484,                  1.118,               0.008086,               0.008086,               0.008086
                     60,                0.92894,                 0.5052,                0.98683,                0.96643,                0.97206,                0.98726,                0.69488,                 1.1032,                0.47895,                 1.1294,               0.008053,               0.008053,               0.008053
                     61,                0.92786,                0.51486,                0.99353,                0.96445,                0.96465,                0.98217,                 0.6871,                 1.1243,                0.50055,                 1.1275,                0.00802,                0.00802,                0.00802
                     62,                0.91873,                0.50408,                0.98706,                0.97044,                0.96953,                0.98334,                0.67068,                 1.1938,                 0.5154,                 1.1603,               0.007987,               0.007987,               0.007987
                     63,                0.91485,                0.50629,                0.99177,                0.97333,                0.96259,                0.98276,                0.68858,                 1.1042,                0.47673,                 1.1303,               0.007954,               0.007954,               0.007954
                     64,                0.92626,                0.52011,                0.97882,                0.97438,                0.96921,                0.98698,                0.68774,                 1.1182,                0.48904,                  1.134,               0.007921,               0.007921,               0.007921
                     65,                0.92135,                0.50769,                0.97757,                0.98284,                0.97394,                0.98874,                0.69665,                 1.1469,                0.48739,                  1.149,               0.007888,               0.007888,               0.007888
                     66,                0.89902,                0.49648,                0.96851,                0.97462,                0.96583,                0.98838,                0.69642,                 1.1205,                0.49023,                 1.1461,               0.007855,               0.007855,               0.007855
                     67,                0.90412,                0.48915,                0.97337,                0.97608,                0.95657,                0.98687,                0.70196,                 1.1191,                0.48013,                 1.1333,               0.007822,               0.007822,               0.007822
                     68,                0.91459,                0.48994,                0.97656,                0.97028,                0.95665,                 0.9851,                0.68006,                 1.1171,                0.47898,                 1.1344,               0.007789,               0.007789,               0.007789
                     69,                0.92623,                0.49006,                0.98884,                0.95535,                 0.9711,                0.98033,                0.68847,                 1.1176,                0.49498,                 1.1303,               0.007756,               0.007756,               0.007756
                     70,                0.88444,                0.48979,                0.97029,                0.96459,                0.96715,                0.98372,                0.68722,                 1.1205,                0.48835,                 1.1372,               0.007723,               0.007723,               0.007723
                     71,                0.88414,                0.48924,                 0.9697,                0.96398,                0.96084,                0.98397,                0.68917,                 1.1236,                0.47816,                  1.134,                0.00769,                0.00769,                0.00769
                     72,                0.88029,                0.49586,                0.97493,                0.96198,                 0.9607,                0.98711,                 0.6985,                 1.1294,                0.47744,                 1.1487,               0.007657,               0.007657,               0.007657
                     73,                0.89613,                0.48919,                0.96774,                0.98071,                0.97026,                0.98895,                0.69858,                  1.137,                0.47135,                 1.1461,               0.007624,               0.007624,               0.007624
